Sl no,unique_id,company_name,facebook_url_userinput,task_category_type,package_id,level,level_id,task_title,description,icon_url,url,facebook_page_id,target,current_reach,campaign_budget,campaign_priority,user_credits,task_category_brand_uid
1,campaign--temp-c1-p1-l1,wedobest,https://www.facebook.com/Wedobest-300775327092830/,facebook_page_like,p1,l1,p1-l1,Like WeDoBest,"WeDobest Let's you buy anything anywhere anytime! Come, Like our facebook page!",http://www.wedobest.in/assets/front/tijik/images/oddappz.png,https://www.facebook.com/Wedobest-300775327092830/,300800000000000,10000,0,200000,1,10,facebook_page_like-300775327092830
2,campaign--temp-c2-p1-l1,bestonezone,https://www.facebook.com/Bestonezone-446100089121306/,facebook_page_like,p1,l1,p1-l1,Like BestOneZone,"Want to Recharge or Pay bills or Book travel tickets? The Best Solution is BestOneZone. Come, Like our facebook page!",http://bestonezone.com/assets/img/logo.png,https://www.facebook.com/Bestonezone-446100089121306/,446100000000000,10000,0,200000,1,10,facebook_page_like-446100089121306
3,campaign--temp-c3-p1-l1,getmarryhere,https://www.facebook.com/Getmarryhere/,facebook_page_like,p1,l1,p1-l1,Like GetMarryHere,"Your dreams of a dream marriage is just a click away with GetMarryHere. Come, like our facebook page!",http://static.adweek.com/adweek.com-prod/wp-content/uploads/2017/02/Facebook-Logo-320x240.jpg,https://www.facebook.com/Getmarryhere/,146800000000000,10000,0,200000,1,10,facebook_page_like-146841579372413
4,campaign--temp-c4-p1-l1,getyaa,https://www.facebook.com/Getyaaa/?ref=bookmarks,facebook_page_like,p1,l1,p1-l1,Like GetYaa,"Buy anything, Sell anything in just a click. Come, Like our facebook page!",http://getyaa.in/admin/uploads/general_setting/logo.png,https://www.facebook.com/Getyaaa/,786300000000000,10000,0,200000,1,10,facebook_page_like-786290121523876
5,campaign--temp-c5-p1-l1,eazyspot,https://www.facebook.com/Eazyspot-369947506765765/?ref=bookmarks,facebook_page_like,p1,l1,p1-l1,Like EasySpot,"Spot any near by services and stores online with a click of a button! Come, Like our facebook page!",https://eazyspot.com/images/justclick_logo.png,https://www.facebook.com/Eazyspot-369947506765765/,369900000000000,10000,0,200000,1,10,facebook_page_like-369947506765765
6,campaign--temp-c6-p1-l1,getocar,https://facebook.com/GettoCar-1978344219120970/,facebook_page_like,p1,l1,p1-l1,Like GettOCar,"Best place for pre-owned cars! Launched in Hyderabad now! Come, Like our facebook page!",http://static.adweek.com/adweek.com-prod/wp-content/uploads/2017/02/Facebook-Logo-320x240.jpg,https://facebook.com/GettoCar-1978344219120970/,1978344219120970,10000,0,200000,1,10,facebook_page_like-1978344219120970
7,campaign--temp-c7-p1-l1,gafc,https://www.facebook.com/GirishAsianFoodCourts/,facebook_page_like,p1,l1,p1-l1,Like Girish Asian Food Court,"Best, Healthy and Higenic food, Just for you! Come, Like our facebook page!",http://gafc.co.in/temp/img/main_logo.png,https://www.facebook.com/GirishAsianFoodCourts/,183700000000000,10000,0,200000,1,10,facebook_page_like-183696452154619
8,campaign--temp-c8-p1-l1,girish gold n diamonds,https://facebook.com/Girishgolddiamonds-1949844691948982/,facebook_page_like,p1,l1,p1-l1,Like Girishgold&diamonds,"Precious diamonds and exotic collection, Just for precious you! Come, Like our facebook page!",http://girishgoldndiamonds.com/images/logo-white.png,https://facebook.com/Girishgolddiamonds-1949844691948982/,1949844691948980,10000,0,200000,1,10,facebook_page_like-1949844691948982
9,campaign--temp-c9-p1-l1,myjobsbank,https://www.facebook.com/Myjobsbank-118409868849816/?ref=bookmarks,facebook_page_like,p1,l1,p1-l1,Like MyJobsBank,"India's largest blue collared job portal! Come, Like our facebook page!",http://static.adweek.com/adweek.com-prod/wp-content/uploads/2017/02/Facebook-Logo-320x240.jpg,https://www.facebook.com/Myjobsbank-118409868849816/,118400000000000,10000,0,200000,1,10,facebook_page_like-118409868849816
10,campaign--temp-c10-p1-l1,Inifinito Coupons,https://www.facebook.com/InfinitoCouponscom-107185649973665/,facebook_page_like,p1,l1,p1-l1,Like InfinitoCoupons.com,"Want an Infinite variety of Coupons and save your precious money? Join our lakhs of users using Infinito Coupons! Come, Like our facebook page!",http://static.adweek.com/adweek.com-prod/wp-content/uploads/2017/02/Facebook-Logo-320x240.jpg,https://www.facebook.com/InfinitoCouponscom-107185649973665/,107200000000000,10000,0,200000,1,10,facebook_page_like-107185649973665
11,campaign--temp-c11-p1-l1,Infinito Deals,https://www.facebook.com/InfinitoDeals-327075721071288/?ref=bookmarks,facebook_page_like,p1,l1,p1-l1,Like InfinitoDeals,"Want an Infinite variety of Deals and save your precious money? Join our lakhs of users using Infinito Deals! Come, Like our facebook page!",https://www.infinitodeals.com/images/ID_logo.png,https://www.facebook.com/InfinitoDeals-327075721071288/,327100000000000,10000,0,200000,1,10,facebook_page_like-327075721071288
12,campaign--temp-c12-p1-l1,PAS,https://www.facebook.com/PerfectoAdSolutions-1592977544102961,facebook_page_like,p1,l1,p1-l1,Like PerfectoAdSolutions,"The next generation Ad technology platform which would rewards it's user base. Get paid for viewing ads! Come, Like our facebook page!",http://static.adweek.com/adweek.com-prod/wp-content/uploads/2017/02/Facebook-Logo-320x240.jpg,https://www.facebook.com/PerfectoAdSolutions-1592977544102961,1592977544102960,10000,0,200000,1,10,facebook_page_like-1592977544102961
13,campaign--temp-c13-p1-l1,Ckts webservices,https://www.facebook.com/Cosmickenttechnosolutions/,facebook_page_like,p1,l1,p1-l1,Like Cosmickent Techno Solutions,"Want to build a product, Avail world class services at Cosmickent Techno Solutions. Come, Like our facebook page!",http://static.adweek.com/adweek.com-prod/wp-content/uploads/2017/02/Facebook-Logo-320x240.jpg,https://www.facebook.com/Cosmickenttechnosolutions/,1299786833438430,10000,0,200000,1,10,facebook_page_like-1299786833438436
14,campaign--temp-c14-p1-l1,ivigoo,https://www.facebook.com/Ivigoo-1500135956722391/,facebook_page_like,p1,l1,p1-l1,Like Ivigoo,"Are you travelling, Just think of Ivigoo! Save a lot with our amazing airfares! Come, Like our facebook page!",https://tripsndmore.com/extras/custom/TMX6961201505478207/images/TMX6961201505478207ivigoo_1.jpg,https://www.facebook.com/Ivigoo-1500135956722391/,1500135956722390,10000,0,200000,1,10,facebook_page_like-1500135956722391
15,campaign--temp-c15-p1-l1,eazycinemas,https://facebook.com/Eazycinema-545867852414120/,facebook_page_like,p1,l1,p1-l1,Like EazyCinema,"Buying movie tickets made simple. Loads of Cashbacks! Come, Like our facebook page!",http://static.adweek.com/adweek.com-prod/wp-content/uploads/2017/02/Facebook-Logo-320x240.jpg,https://facebook.com/Eazycinema-545867852414120/,545900000000000,10000,0,200000,1,10,facebook_page_like-545867852414120
16,campaign--temp-c16-p1-l1,Spartxo,https://www.facebook.com/spartxo/,facebook_page_like,p1,l1,p1-l1,Like SpartXo,"Shopping as it should be! India's largest E-commerce portal. Come, like our facebook page!",http://static.adweek.com/adweek.com-prod/wp-content/uploads/2017/02/Facebook-Logo-320x240.jpg,https://www.facebook.com/spartxo/,1975367512710770,10000,0,200000,1,10,facebook_page_like-1975367512710775
17,campaign--temp-c17-p1-l1,Dreambridz,https://facebook.com/DreamBridz-129264027730723/,facebook_page_like,p1,l1,p1-l1,Like Dreambirdz,"Dreambirdz empowers you achieve your dreams! Come, Like our facebook page!",https://dreambridz.com/db/img/logo_black.png,https://facebook.com/DreamBridz-129264027730723/,129300000000000,10000,0,200000,1,10,facebook_page_like-129264027730723
18,campaign--temp-c18-p2-l1,wedobest,https://www.facebook.com/Wedobest-300775327092830/,facebook_page_like,p2,l1,p2-l1,Like WeDoBest,"WeDobest Let's you buy anything anywhere anytime! Come, Like our facebook page!",http://www.wedobest.in/assets/front/tijik/images/oddappz.png,https://www.facebook.com/Wedobest-300775327092830/,300800000000000,10000,0,200000,1,10,facebook_page_like-300775327092830
19,campaign--temp-c19-p2-l1,bestonezone,https://www.facebook.com/Bestonezone-446100089121306/,facebook_page_like,p2,l1,p2-l1,Like BestOneZone,"Want to Recharge or Pay bills or Book travel tickets? The Best Solution is BestOneZone. Come, Like our facebook page!",http://bestonezone.com/assets/img/logo.png,https://www.facebook.com/Bestonezone-446100089121306/,446100000000000,10000,0,200000,1,10,facebook_page_like-446100089121306
20,campaign--temp-c20-p2-l1,getmarryhere,https://www.facebook.com/Getmarryhere/,facebook_page_like,p2,l1,p2-l1,Like GetMarryHere,"Your dreams of a dream marriage is just a click away with GetMarryHere. Come, like our facebook page!",http://static.adweek.com/adweek.com-prod/wp-content/uploads/2017/02/Facebook-Logo-320x240.jpg,https://www.facebook.com/Getmarryhere/,146800000000000,10000,0,200000,1,10,facebook_page_like-146841579372413
21,campaign--temp-c21-p2-l1,getyaa,https://www.facebook.com/Getyaaa/?ref=bookmarks,facebook_page_like,p2,l1,p2-l1,Like GetYaa,"Buy anything, Sell anything in just a click. Come, Like our facebook page!",http://getyaa.in/admin/uploads/general_setting/logo.png,https://www.facebook.com/Getyaaa/,786300000000000,10000,0,200000,1,10,facebook_page_like-786290121523876
22,campaign--temp-c22-p2-l1,eazyspot,https://www.facebook.com/Eazyspot-369947506765765/?ref=bookmarks,facebook_page_like,p2,l1,p2-l1,Like EasySpot,"Spot any near by services and stores online with a click of a button! Come, Like our facebook page!",https://eazyspot.com/images/justclick_logo.png,https://www.facebook.com/Eazyspot-369947506765765/,369900000000000,10000,0,200000,1,10,facebook_page_like-369947506765765
